Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21L.004","Reading Poetry","",,,,,,Y,,Y,,"S. Tapscott, S. Tapscott, A. Bahr","CI-H","HASS-H",
"21L.005","Introduction to Drama","",,,,,,Y,,Y,,"A. Fleche","CI-H","HASS-A",
"21L.006","American Literature","",,,,,,Y,,,,"W. Kelley","CI-H","HASS-H",
"21L.007","World Literatures","",,,,,,,,Y,,,"CI-H","HASS-H",
"21L.008","Black Matters: Introduction to Black Studies","",,"24.912[J],21H.106[J],21W.741[J],WGS.190[J]",,,,,,Y,,,"CI-H",,
"21L.009","Shakespeare","",,,,,,Y,,Y,,"S. Raman","CI-H","HASS-H",
"21L.010","Writing with Shakespeare","",,"21W.042[J]",,,,Y,,,,"D. Henderson","CI-HW","HASS-H",
"21L.011","The Film Experience","",,,,,,Y,,Y,,"E. Brinkema","CI-H","HASS-A",
"21L.012","Forms of Western Narrative","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.013","The Supernatural in Music, Literature and Culture","",,"21M.013[J]",,,,Y,,,,"C. Shadle, M. Fuller","CI-H",,
"21L.014","Empire: Introduction to Ancient and Medieval Studies","",,"21H.007[J]",,,,,,Y,,,"CI-H","HASS-H",
"21L.015","Children's Literature","",,,,,,Y,,,,"M. Gubar, M. Gubar","CI-H","HASS-H",
"21L.017","The Art of the Probable","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.018","Introduction to English Literature","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.019","Introduction to European and Latin American Fiction","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.020","Globalization: The Good, the Bad and the In-Between","",,"WGS.145[J]",,,,Y,,,,"M. Resnick","CI-H","HASS-H",
"21L.021","Comedy","",,,,,,Y,,,,"P. Donaldson","CI-H","HASS-H",
"21L.022","Darwin and Design","",,"21W.739[J]",,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.023","Folk Music of the British Isles and North America","",,"21M.223[J]",,,,Y,,,,"R. Perry, W. Donaldson","CI-H","HASS-A",
"21L.024","Literature and Existentialism","",,,,,,Y,,,,"E. Brinkema","CI-H","HASS-H",
"21L.310","Bestsellers","",,,,,,,,Y,,,,,
"21L.315","Prizewinners","",,,,,"2017-2018",,,Y,,,,,
"21L.320","Big Books","",,,,,,Y,,,,"N. Jackson",,,
"21L.325","Small Wonders","",,,,,,,,Y,,,,,
"21L.338","Reading in the Original","Permission of instructor",,,,,,,,Y,,,,,
"21L.340","Pleasures of Poetry","Permission of instructor",,,,,,,Y,,,,,,
"21L.345","On the Screen","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"21L.350","Science and Literature","",,,,,,Y,,,,"N. Jackson",,,
"21L.355","Literature in the Digital Age","",,,,,"2017-2018",,,Y,,,,,
"21L.430","Popular Culture and Narrative","",,,,"CMS.920",,,,Y,,,,"HASS-H",
"21L.431","Shakespeare on Film and Media","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.432","Understanding Television","One subject in Literature,Comparative Media Studies",,,,"CMS.915","2017-2018",,,Y,,,,"HASS-H",
"21L.433","Film Styles and Genres","21L.011,permission of instructor",,,,,,Y,,,,"A. Fleche",,"HASS-H",
"21L.434","Science Fiction and Fantasy","",,,,,,Y,,,,"A. Bahr",,"HASS-H",
"21L.435","Literature and Film","One subject in Literature,Comparative Media Studies",,,,"CMS.840",,,,Y,,,,"HASS-H",
"21L.449","The Wilds of Literature","",,,,,,,,Y,,,,"HASS-H",
"21L.451","Literary Theory","",,,,,,Y,,,,"S. Raman",,"HASS-H",
"21L.455","Ancient Authors","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.458","The Bible","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.460","Arthurian Literature","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.471","Major Novels","One subject in Literature",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.473","Jane Austen","One subject in Literature",,"WGS.240[J]",,,,Y,,,,"R. Perry",,"HASS-H",
"21L.475","Enlightenment and Modernity","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.480","Identities and Intersections: Queer Literatures","",,"WGS.245[J]",,,,Y,,,,"J. Terrones",,"HASS-H",
"21L.485","Modern Fiction","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.486","Modern Drama","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-A",
"21L.487","Modern Poetry","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.488","Contemporary Literature","One subject in Literature",,,,,,,,Y,,,,"HASS-H",
"21L.489","Interactive Narrative","",,"21W.765[J],CMS.618[J]",,"CMS.845",,Y,,,,"N. Montfort",,"HASS-A",
"21L.490","Introduction to the Classics of Russian Literature","",,"21G.077[J]",,"21G.618",,,,Y,,,,"HASS-H",
"21L.006","American Literature","",,,,,,Y,,,,"W. Kelley","CI-H","HASS-H",
"21L.501","The American Novel","Permission of instructor",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.504","Race and Identity in American Literature","Permission of instructor",,"WGS.140[J]",,,,,,Y,,,,"HASS-H",
"21L.512","American Authors","One subject in Literature;permission of instructor",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.007","World Literatures","",,,,,,,,Y,,,"CI-H","HASS-H",
"21L.020","Globalization: The Good, the Bad and the In-Between","",,"WGS.145[J]",,,,Y,,,,"M. Resnick","CI-H","HASS-H",
"21L.522","International Women's Voices","",,"21G.022[J],WGS.141[J]",,,"2017-2018",,,Y,,,,"HASS-H",
"21L.580","Translations","",,,,,"2017-2018",Y,,,,,,"HASS-A",
"21L.590","Cultural Encounters: Global Literature Abroad","Permission of instructor",,,,,,,Y,,,,,"HASS-H",
"21L.601","Old English and Beowulf","",,"24.916[J]",,,,,,Y,,,,"HASS-H",
"21L.607","Greek I","",,,,,,Y,,,,"R. Colaizzi",,,
"21L.608","Greek II","21L.607,permission of instructor",,,,,,Y,,,,"R. Colaizzi",,,
"21L.611","Latin I","",,,,,,Y,,,,"R. Colaizzi",,,
"21L.612","Latin II","21L.611,permission of instructor",,,,,,Y,,,,"R. Colaizzi",,,
"21L.613","Latin Readings","21L.611,permission of instructor",,,,,,,,Y,,,,,
"21L.614","Advanced Latin Readings","21L.613;placement exam,permission of instructor",,,,,,,,Y,,,,,
"21L.636","Introduction to Contemporary Hispanic Literature and Film","One intermediate subject in Spanish,permission of instructor",,"21G.716[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21L.637","Introduction to Hispanic Culture","One intermediate subject in Spanish,permission of instructor",,"21G.717[J]",,,"2017-2018",,,Y,,,,"HASS-H",
