Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"5.697","Computational Chemistry",3,0,9,12,,,,"",,"Addresses both the theory and application of first-principles computer simulations methods (i.e., quantum, chemical, or electronic structure), including Hartree-Fock theory, density functional theory, and correlated wavefunction methods. Covers enhanced sampling, ab initio molecular dynamics, and transition-path-finding approaches as well as errors and accuracy in total and free energies. Discusses applications such as the study and prediction of properties of chemical systems, including heterogeneous, molecular, and biological catalysts (enzymes), and physical properties of materials. Students taking graduate version complete additional assignments.","10.437[J]","5.698[J],10.637[J]",,,Y,,,,,"H. Kulik","Lecture,26-168/TR/0/11-12.30"
"5.698","Quantum Chemical Simulation",3,0,9,12,,,,"",,"Addresses both the theory and application of first-principles computer simulations methods (i.e., quantum, chemical, or electronic structure), including Hartree-Fock theory, density functional theory, and correlated wavefunction methods. Covers enhanced sampling, ab initio molecular dynamics, and transition-path-finding approaches as well as errors and accuracy in total and free energies. Discusses applications such as the study and prediction of properties of chemical systems, including heterogeneous, molecular, and biological catalysts (enzymes), and physical properties of materials. Students taking graduate version complete additional assignments.","10.637[J]","5.697[J],10.437[J]",,,Y,,,,,"H. Kulik","Lecture,26-168/TR/0/11-12.30"
"5.70","Statistical Thermodynamics",3,0,9,12,,,,"5.60,permission of instructor",,"Develops classical equilibrium statistical mechanical concepts for application to chemical physics problems. Basic concepts of ensemble theory formulated on the basis of thermodynamic fluctuations. Examples of applications include Ising models, lattice models of binding, ionic and non-ionic solutions, liquid theory, polymer and protein conformations, phase transition, and pattern formation. Introduces computational techniques with examples of liquid and polymer simulations.","10.546[J]",,,,Y,,,,,"B. Zhang","Lecture,4-231/MW/0/8.30-10"
"5.72","Statistical Mechanics",2,0,4,6,,,,"5.70,permission of instructor",,"Principles and methods of statistical mechanics. Classical and quantum statistics, grand ensembles, fluctuations, molecular distribution functions, and other topics in equilibrium statistical mechanics. Topics in thermodynamics and statistical mechanics of irreversible processes.",,,,"2017-2018",,,Y,,,,
"5.73","Introductory Quantum Mechanics I",3,0,9,12,,,,"5.61;8.03;18.03",,"Presents the fundamental concepts of quantum mechanics: wave properties, uncertainty principles, Schrodinger equation, and operator and matrix methods. Includes applications to one-dimensional potentials (harmonic oscillator), three-dimensional centrosymetric potentials (hydrogen atom), and angular momentum and spin. Approximation methods include WKB, variational principle, and perturbation theory.",,,,,Y,,,,,"R. Griffin","Lecture,NW14-1112/TR/0/9.30-11"
"5.74","Introductory Quantum Mechanics II",3,0,9,12,,,,"5.73",,"Time-dependent quantum mechanics and spectroscopy. Topics include perturbation theory, two-level systems, light-matter interactions, relaxation in quantum systems, correlation functions and linear response theory, and nonlinear spectroscopy.",,,,,,,Y,,,,
"5.78","Biophysical Chemistry Techniques",2,0,4,6,,,,"5.07,7.05",,"Presents principles of macromolecular crystallography that are essential for structure determinations. Topics include crystallization, diffraction theory, symmetry and space groups, data collection, phase determination methods, model building, and refinement. Discussion of crystallography theory complemented with exercises such as crystallization, data processing, and model building. Meets with 7.71 when offered concurrently. Enrollment limited.",,"7.71",,,,,Y,,,,
"5.80","Advanced Topics of Current Special Interest",3,0,9,12,,,,"5.61,8.04;18.03",,,,,,,Y,,Y,,,"J. Weisman",
"5.83","Advanced NMR Spectroscopy",2,0,4,6,,,,"5.73,permission of instructor",,"Offers a classical and quantum mechanical description of nuclear magnetic resonance (NMR) spectroscopy. The former includes key concepts such as nuclear spin magnetic moment, Larmor precession, Bloch equations, the rotating frame, radio-frequency pulses, vector model of pulsed NMR, Fourier transformation in 1D and nD NMR, orientation dependence of nuclear spin frequencies, and NMR relaxation. The latter covers nuclear spin Hamiltonians, density operator and its time evolution, the interaction representation, Average Hamiltonian Theory for multi-pulse experiments, and analysis of some common pulse sequences in solution and solid-state NMR.",,,,"2018-2019",,,Y,,,,
"5.891","Independent Study in Chemistry for Undergraduates",,,,,,,,"",,"Program of independent study under direction of Chemistry faculty member. May not substitute for required courses for the Chemistry major or minor.",,,,,Y,Y,Y,Y,,"J. Weisman",
"5.892","Independent Study in Chemistry for Undergraduates",,,,,,,,,,,,,,,,,,,,"J. Weisman",
"5.90","Problems in Chemistry",,,,,,,,"Permission of instructor",,"Directed research and study of special chemical problems. For Chemistry graduate students only.",,,,,Y,,Y,Y,,"J. Weisman",
"5.913","Seminar in Organic Chemistry",,,,2,,,,"Permission of instructor",,"Discusses current journal publications in organic chemistry by graduate students and staff members.",,,,,Y,,Y,,,"R. Danheiser",
"5.921","Seminar in Biological Chemistry",,,,2,,,,"Permission of instructor",,"Discusses topics of current interest in biological chemistry by graduate students and staff.",,,,,Y,,Y,,,"M. Shoulders",
"5.931","Seminar in Physical Chemistry",,,,2,,,,"5.60",,"Discusses topics of current interest in physical chemistry by staff members and students.",,,,,Y,,Y,,,"A. Willard",
"5.941","Seminar in Inorganic Chemistry",,,,2,,,,"5.03",,"Discusses current research in inorganic chemistry by graduate students and staff.",,,,,Y,,Y,,,"M. Dinca",
"5.95","Teaching College-Level Science and Engineering",,,,2,,,,"",,"Participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. Topics include theories of adult learning; course development; promoting active learning, problemsolving, and critical thinking in students; communicating with a diverse student body; using educational technology to further learning; lecturing; creating effective tests and assignments; and assessment and evaluation. Students research and present a relevant topic of particular interest. Appropriate for both novices and those with teaching experience.","1.95[J],7.59[J],8.395[J],18.094[J]","2.978",,,Y,,,,,"J. Rankin","Lecture,4-149/R/0/9-11"
"5.THG","Graduate Thesis",,,,,,,,"Permission of instructor",,"Program of research leading to the writing of a PhD thesis; to be arranged by the student and an appropriate MIT faculty member.",,,,,Y,Y,Y,Y,,"J. Weisman",
"5.THU","Undergraduate Thesis",,,,,,,,"Permission of instructor",,"Program of original research under supervision of a chemistry faculty member, culminating with the preparation of a thesis. Ordinarily requires equivalent of two terms of research with chemistry department faculty member.",,,,,Y,Y,Y,Y,,"J. Weisman",
"5.UR","Undergraduate Research",,,,,,,,"",,"Program of research to be arranged by the student and a departmental faculty member. Research can be applied toward undergraduate thesis.",,,,,Y,Y,Y,Y,,"C. Cummins",
"5.URG","Undergraduate Research",,,,,,,,"",,"Program of research to be arranged by the student and a departmental faculty member. May be taken for up to 12 units per term, not to exceed a cumulative total of 48 units. A 10-page paper summarizing research is required.",,,,,Y,Y,Y,Y,,"C. Cummins",
