Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2.URG,Undergraduate Research in Mechanical Engineering,,,Y,Y,Y,Y
3.001,Introduction to Materials Science and Engineering,2,,Y,,Y,
3.003,Principles of Engineering Practice,9,,,,,
3.004,Principles of Engineering Practice,12,,,,Y,
3.005,Passion Projects: Living in a Material World,9,2017-2018,,,Y,
3.012,Fundamentals of Materials Science and Engineering,15,,Y,,,
3.014,Materials Laboratory,12,,Y,,,
3.016,Computational Methods for Materials Scientists and Engineers,12,,Y,,,
3.017,Modelling, Problem Solving, Computing, and Visualization,12,,,,Y,
3.021,Introduction to Modeling and Simulation,12,,,,Y,
3.022,Microstructural Evolution in Materials,12,,,,Y,
3.024,Electronic, Optical and Magnetic Properties of Materials,12,,,,Y,
3.032,Mechanical Behavior of Materials,12,,Y,,,
3.034,Organic and Biomaterials Chemistry,12,,Y,,,
3.034A,Organic and Biomaterials Chemistry,12,,Y,,,
3.035,Problems in Materials Science and Engineering,,,Y,,Y,Y
3.036,Problems in Materials Science and Engineering,,,Y,,Y,Y
3.037,Problems in Materials Science and Engineering,,,Y,Y,Y,Y
3.038,Problems in Materials Science and Engineering,,,Y,,Y,Y
3.039,Problems in Materials Science and Engineering,,,Y,,Y,Y
3.04,Problems in Materials Science and Engineering,,,Y,Y,Y,Y
3.042,Materials Project Laboratory,12,,Y,,Y,
3.044,Materials Processing,12,,,,Y,
3.046,Thermodynamics of Materials,12,,,,Y,
3.048,Advanced Materials Processing,12,2017-2018,,,Y,
3.052,Nanomechanics of Materials and Biomaterials,12,,,,Y,
3.053,Molecular, Cellular, and Tissue Biomechanics,12,,Y,,,
3.054,Cellular Solids: Structure, Properties, Applications,12,,Y,,,
3.055,Biomaterials Science and Engineering,12,,Y,,,
3.063,Polymer Physics,12,,Y,,,
3.064,Polymer Engineering,12,2017-2018,Y,,,
3.07,Introduction to Ceramics,12,,Y,,,
3.071,Amorphous Materials,12,,Y,,,
3.072,Symmetry, Structure and Tensor Properties of Materials,12,,Y,,,
3.074,Imaging of Materials,12,,,,Y,
3.080,Strategic Materials Selection,12,,,,Y,
3.081,Industrial Ecology of Materials,12,2017-2018,Y,,,
3.085,Venture Engineering,12,,,,Y,
3.086,Innovation and Commercialization of Materials Technology,12,,,,Y,
3.091,Introduction to Solid-State Chemistry,12,,Y,,Y,
3.094,Materials in Human Experience,9,,,,Y,
3.095,Introduction to Metalsmithing,9,,,,Y,
3.14,Physical Metallurgy,12,,Y,,,
3.15,Electrical, Optical, and Magnetic Materials and Devices,12,,,,Y,
3.152,Magnetic Materials,12,,,,Y,
3.153,Nanoscale Materials,12,2017-2018,,,Y,
3.154,Materials Performance in Extreme Environments,12,2018-2019,,,Y,
3.155,Micro/Nano Processing Technology,12,,Y,,,
3.156,Photonic Materials and Devices,12,,Y,,,
